prediction,pass_probability,fail_probability,risk_level,predicted_outcome,feature_min_score,feature_code_module_encoded,feature_avg_score,feature_is_unregistered,feature_num_assessments,actual_outcome,actual_outcome_label,correct_prediction,recommendation
1,0.5144451867721107,0.4855548132278893,Medium,Pass,49.0,1,74.85714285714286,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5150875684881063,0.4849124315118936,Medium,Pass,29.0,1,62.0,0,5.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5156549784399641,0.4843450215600359,Medium,Pass,36.0,3,50.0,0,6.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.516086337728252,0.483913662271748,Medium,Pass,0.0,1,69.0,0,8.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5169287908464033,0.4830712091535967,Medium,Pass,36.0,4,58.0,0,4.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5183917417876435,0.4816082582123565,Medium,Pass,34.0,2,61.0,0,8.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5192188790705641,0.4807811209294359,Medium,Pass,60.0,4,77.33333333333333,0,3.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5217356066406877,0.4782643933593122,Medium,Pass,16.0,2,55.888888888888886,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.523042785680131,0.476957214319869,Medium,Pass,28.0,3,60.66666666666666,0,6.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5238386346784514,0.4761613653215486,Medium,Pass,40.0,0,54.25,0,4.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5242518903656198,0.4757481096343802,Medium,Pass,35.0,2,57.625,0,8.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5246315949398156,0.4753684050601844,Medium,Pass,43.0,5,61.63636363636363,0,11.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5250437390353722,0.4749562609646278,Medium,Pass,36.0,1,70.0,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5279067172010719,0.4720932827989281,Medium,Pass,60.0,1,72.2,0,5.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5281693883705719,0.4718306116294281,Medium,Pass,19.0,3,49.85714285714285,0,14.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5290751185682626,0.4709248814317374,Medium,Pass,14.0,5,64.75,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5308084951394785,0.4691915048605215,Medium,Pass,84.0,3,90.25,0,4.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5314112415921827,0.4685887584078173,Medium,Pass,44.0,5,75.875,0,8.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.533110091981757,0.466889908018243,Medium,Pass,20.0,1,50.4,0,5.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5332612464673718,0.4667387535326281,Medium,Pass,26.0,2,55.888888888888886,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5339505213939164,0.4660494786060836,Medium,Pass,22.0,3,57.57142857142857,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5347133793308089,0.4652866206691911,Medium,Pass,60.0,1,73.625,0,8.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5378925230737586,0.4621074769262414,Medium,Pass,27.0,3,71.66666666666667,0,6.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5386249582456966,0.4613750417543034,Medium,Pass,48.0,3,60.66666666666666,0,6.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5391611927102334,0.4608388072897665,Medium,Pass,52.0,0,59.75,0,4.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5398972612839612,0.4601027387160388,Medium,Pass,35.0,3,67.3,0,10.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5414404039536497,0.4585595960463503,Medium,Pass,75.0,2,88.25,0,4.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5419227995967012,0.4580772004032988,Medium,Pass,17.0,3,57.71428571428572,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5427354175636115,0.4572645824363884,Medium,Pass,28.0,5,61.0,0,12.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5449284847857001,0.4550715152142999,Medium,Pass,40.0,1,65.9090909090909,0,11.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5452245590852599,0.4547754409147401,Medium,Pass,10.0,1,67.36363636363636,0,11.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.545548137515074,0.454451862484926,Medium,Pass,34.0,5,61.66666666666666,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5471369282119228,0.4528630717880771,Medium,Pass,75.0,2,86.25,0,4.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5478371977251857,0.4521628022748143,Medium,Pass,19.0,3,53.25,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5488432359643146,0.4511567640356854,Medium,Pass,25.0,2,63.0,0,5.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5499900450756147,0.4500099549243853,Medium,Pass,38.0,5,63.083333333333336,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.552115529221645,0.447884470778355,Medium,Pass,38.0,3,62.57142857142857,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5521336675380455,0.4478663324619545,Medium,Pass,1.0,3,47.85714285714285,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5534757136193547,0.4465242863806453,Medium,Pass,42.0,5,61.81818181818182,0,11.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5544731403712462,0.4455268596287538,Medium,Pass,19.0,3,54.083333333333336,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5560560208274155,0.4439439791725845,Medium,Pass,40.0,1,59.5,0,10.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5563338971427066,0.4436661028572933,Medium,Pass,28.0,3,53.142857142857146,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.557710708948201,0.442289291051799,Medium,Pass,48.0,4,60.0,0,3.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5593969336482366,0.4406030663517634,Medium,Pass,75.0,1,89.5,0,4.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.561915794220752,0.438084205779248,Medium,Pass,11.0,3,65.5,0,6.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.56419585133276,0.43580414866724,Medium,Pass,25.0,5,65.5,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5644460806721557,0.4355539193278442,Medium,Pass,45.0,6,65.71428571428571,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5661106045994995,0.4338893954005005,Medium,Pass,76.0,4,83.66666666666667,0,3.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5666752671727772,0.4333247328272228,Medium,Pass,40.0,1,59.4,0,5.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5677696427234354,0.4322303572765645,Medium,Pass,88.0,4,92.33333333333331,0,3.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5680869728993571,0.4319130271006429,Medium,Pass,43.0,3,58.16666666666666,0,6.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5681065860448012,0.4318934139551987,Medium,Pass,20.0,3,46.71428571428572,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5681218110418981,0.4318781889581019,Medium,Pass,52.0,2,73.83333333333333,0,6.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5692151664444929,0.4307848335555071,Medium,Pass,59.0,4,80.33333333333333,0,3.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5710199285967156,0.4289800714032844,Medium,Pass,40.0,1,70.22222222222223,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5712874976157936,0.4287125023842064,Medium,Pass,37.0,2,53.11111111111112,0,9.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5722552342898364,0.4277447657101636,Medium,Pass,35.0,3,54.57142857142857,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5731606235719379,0.4268393764280621,Medium,Pass,17.0,2,62.0,0,8.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5732405256036474,0.4267594743963526,Medium,Pass,56.0,2,69.25,0,4.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5747385525302292,0.4252614474697708,Medium,Pass,53.0,1,77.875,0,8.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5748230322162629,0.4251769677837371,Medium,Pass,18.0,3,67.71428571428571,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5751785781025348,0.4248214218974652,Medium,Pass,55.0,4,70.33333333333333,0,3.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5754791197713224,0.4245208802286776,Medium,Pass,59.0,5,75.27272727272727,0,11.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.576642394416166,0.4233576055838339,Medium,Pass,60.0,1,74.875,0,8.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5772902647108711,0.4227097352891289,Medium,Pass,36.0,2,53.333333333333336,0,9.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5783962803165037,0.4216037196834963,Medium,Pass,24.0,3,53.71428571428572,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5792540876714076,0.4207459123285924,Medium,Pass,50.0,5,67.36363636363636,0,11.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5807728264961983,0.4192271735038017,Medium,Pass,11.0,3,49.42857142857143,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5832963785783057,0.4167036214216942,Medium,Pass,38.0,2,54.8,0,5.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5836022598774789,0.416397740122521,Medium,Pass,73.0,1,83.85714285714286,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.584235489160917,0.4157645108390829,Medium,Pass,40.0,6,62.5,0,8.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5854698097528883,0.4145301902471117,Medium,Pass,38.0,2,58.22222222222222,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5873223496920142,0.4126776503079857,Medium,Pass,25.0,3,58.57142857142857,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5873338735396542,0.4126661264603458,Medium,Pass,1.0,1,37.4,0,5.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5893197860550125,0.4106802139449875,Medium,Pass,32.0,6,56.11111111111112,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5905354338201395,0.4094645661798605,Medium,Pass,28.0,3,58.57142857142857,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5908450326114809,0.4091549673885191,Medium,Pass,39.0,3,47.142857142857146,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5911240551136296,0.4088759448863703,Medium,Pass,52.0,5,66.16666666666667,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5919460605976081,0.4080539394023919,Medium,Pass,15.0,3,56.833333333333336,0,12.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5920183908273384,0.4079816091726616,Medium,Pass,38.0,2,69.5,0,6.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5924704805607011,0.4075295194392989,Medium,Pass,44.0,1,59.6,0,5.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5925791394021127,0.4074208605978873,Medium,Pass,19.0,3,57.75,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5926054898443257,0.4073945101556743,Medium,Pass,36.0,3,61.71428571428572,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5935549803368095,0.4064450196631904,Medium,Pass,40.0,1,73.77777777777777,0,9.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5946519198127691,0.4053480801872309,Medium,Pass,32.0,2,63.16666666666666,0,6.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5946560900741645,0.4053439099258354,Medium,Pass,40.0,1,68.3,0,10.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5949591966425087,0.4050408033574912,Medium,Pass,62.0,4,80.66666666666667,0,3.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5953250499113178,0.4046749500886821,Medium,Pass,33.0,4,51.75,0,4.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5962634659333734,0.4037365340666266,Medium,Pass,39.0,3,53.333333333333336,0,6.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5967024540605393,0.4032975459394606,Medium,Pass,49.0,5,62.25,0,12.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5968739553405605,0.4031260446594394,Medium,Pass,68.0,1,77.0,0,4.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5984585385964216,0.4015414614035784,Medium,Pass,69.0,5,84.85714285714286,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.600034964691313,0.399965035308687,Medium,Pass,49.0,3,68.0,0,10.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6020272287482988,0.3979727712517011,Medium,Pass,25.0,2,61.44444444444444,0,9.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.602077904110611,0.397922095889389,Medium,Pass,27.0,3,53.85714285714285,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6024293981121861,0.3975706018878139,Medium,Pass,20.0,3,55.57142857142857,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6030249722249865,0.3969750277750135,Medium,Pass,38.0,4,55.0,0,4.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6034571678210566,0.3965428321789433,Medium,Pass,36.0,3,57.0,0,6.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6047467529207545,0.3952532470792455,Medium,Pass,38.0,3,63.333333333333336,0,6.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6055426219984605,0.3944573780015394,Medium,Pass,40.0,1,68.0,0,11.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6062098355035719,0.3937901644964281,Medium,Pass,0.0,5,64.08333333333333,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6069692578519534,0.3930307421480465,Medium,Pass,40.0,6,70.71428571428571,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6073364009963521,0.3926635990036479,Medium,Pass,18.0,3,58.57142857142857,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6090609554006219,0.3909390445993781,Medium,Pass,33.0,3,53.71428571428572,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6094110241360519,0.3905889758639481,Medium,Pass,37.0,3,66.33333333333333,0,6.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6116413430347967,0.3883586569652033,Medium,Pass,0.0,6,51.5,0,8.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6118128379947412,0.3881871620052588,Medium,Pass,34.0,5,66.08333333333333,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.613628664894048,0.386371335105952,Medium,Pass,33.0,4,62.25,0,4.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6138825459543001,0.3861174540456998,Medium,Pass,15.0,2,59.375,0,8.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6142974372557531,0.3857025627442468,Medium,Pass,55.0,1,76.375,0,8.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.614768979584001,0.385231020415999,Medium,Pass,67.0,4,75.66666666666667,0,3.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6148750690389051,0.3851249309610949,Medium,Pass,62.0,4,70.33333333333333,0,3.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6149269505751916,0.3850730494248083,Medium,Pass,38.0,2,59.55555555555556,0,9.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6150706905540855,0.3849293094459145,Medium,Pass,20.0,5,53.333333333333336,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6152339400765298,0.3847660599234702,Medium,Pass,40.0,1,65.0,0,10.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6158539060546115,0.3841460939453884,Medium,Pass,71.0,4,83.66666666666667,0,3.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.615881940209433,0.384118059790567,Medium,Pass,28.0,1,69.8,0,10.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6162312037112749,0.383768796288725,Medium,Pass,50.0,1,72.77777777777777,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.618478845313875,0.381521154686125,Medium,Pass,50.0,5,72.63636363636364,0,11.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6192596123129178,0.3807403876870822,Medium,Pass,34.0,2,62.5,0,8.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6199688401812034,0.3800311598187966,Medium,Pass,58.0,1,73.2,0,5.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6201303160549989,0.3798696839450011,Medium,Pass,0.0,6,66.55555555555556,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6210837720989276,0.3789162279010724,Medium,Pass,63.0,4,68.0,0,4.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6213799211083147,0.3786200788916852,Medium,Pass,40.0,1,70.75,0,8.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6224333502776391,0.3775666497223608,Medium,Pass,31.0,5,63.5,0,12.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6227610455181349,0.377238954481865,Medium,Pass,60.0,1,70.22222222222223,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6229837371967647,0.3770162628032353,Medium,Pass,42.0,3,62.35714285714285,0,14.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6248739930929887,0.3751260069070112,Medium,Pass,28.0,5,66.75,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6257835116786477,0.3742164883213523,Medium,Pass,31.0,3,59.5,0,14.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6262688324321541,0.3737311675678458,Medium,Pass,50.0,3,73.88888888888889,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6276406867902238,0.3723593132097762,Medium,Pass,20.0,6,56.888888888888886,0,9.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6279372324609824,0.3720627675390175,Medium,Pass,63.0,4,79.0,0,3.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6290130157075694,0.3709869842924306,Medium,Pass,60.0,3,69.625,0,8.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6291393905101273,0.3708606094898726,Medium,Pass,65.0,4,84.33333333333333,0,3.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6302001686883384,0.3697998313116616,Medium,Pass,20.0,6,58.888888888888886,0,9.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6304709275374089,0.3695290724625911,Medium,Pass,36.0,3,58.142857142857146,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6308149563870977,0.3691850436129023,Medium,Pass,35.0,1,67.8,0,10.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6308531794032121,0.3691468205967879,Medium,Pass,33.0,3,65.4,0,5.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6308562619723088,0.3691437380276912,Medium,Pass,0.0,6,54.375,0,8.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.63086413265045,0.3691358673495499,Medium,Pass,40.0,1,62.0,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6308948145696616,0.3691051854303384,Medium,Pass,28.0,4,64.0,0,4.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6310774147709157,0.3689225852290843,Medium,Pass,0.0,6,58.333333333333336,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6315851186335483,0.3684148813664517,Medium,Pass,20.0,1,58.0,0,11.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6324468659239474,0.3675531340760526,Medium,Pass,39.0,1,66.1,0,10.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6347133482286342,0.3652866517713657,Medium,Pass,30.0,5,62.16666666666666,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6348280958452593,0.3651719041547406,Medium,Pass,41.0,5,57.583333333333336,0,12.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.63747022174171,0.36252977825829,Medium,Pass,65.0,1,83.71428571428571,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.637608527303594,0.362391472696406,Medium,Pass,24.0,3,59.833333333333336,0,6.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6378565262081115,0.3621434737918885,Medium,Pass,22.0,5,62.66666666666666,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.637887522334337,0.362112477665663,Medium,Pass,71.0,4,79.66666666666667,0,3.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6391970744704932,0.3608029255295067,Medium,Pass,20.0,1,64.0909090909091,0,11.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6392095246051662,0.3607904753948338,Medium,Pass,25.0,3,60.333333333333336,0,6.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6394538963106751,0.3605461036893249,Medium,Pass,0.0,3,54.85714285714285,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6406398561640381,0.3593601438359619,Medium,Pass,16.0,5,68.25,0,12.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6411512211911662,0.3588487788088338,Medium,Pass,60.0,1,72.44444444444444,0,9.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6411522900607177,0.3588477099392823,Medium,Pass,68.0,1,77.8,0,5.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6418138433137999,0.3581861566862001,Medium,Pass,47.0,5,63.0,0,12.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6419383012885627,0.3580616987114373,Medium,Pass,63.0,5,75.6,0,10.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6428375649660081,0.3571624350339919,Medium,Pass,33.0,2,63.55555555555556,0,9.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.6431804056465469,0.3568195943534531,Medium,Pass,49.0,4,66.33333333333333,0,3.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.644808563070442,0.355191436929558,Medium,Pass,37.0,2,60.42857142857143,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
